"symbol","code","name","date"
"sh688001","688001","华兴源创","20250324" 
"sh688002","688002","睿创微纳","20250324" 
"sh688003","688003","天准科技","20250324" 
"sh688004","688004","博汇科技","20250324" 
"sh688005","688005","容百科技","20250324" 
"sh688006","688006","杭可科技","20250324" 
"sh688007","688007","光峰科技","20250324" 
"sh688008","688008","澜起科技","20250324" 
"sh688009","688009","中国通号","20250324" 
"sh688010","688010","福光股份","20250324" 
"sh688011","688011","新光光电","20250324" 
"sh688012","688012","中微公司","20250324" 
"sh688013","688013","天臣医疗","20250324" 
"sh688015","688015","交控科技","20250324" 
"sh688016","688016","心脉医疗","20250324" 
"sh688017","688017","绿的谐波","20250324" 
"sh688018","688018","乐鑫科技","20250324" 
"sh688019","688019","安集科技","20250324" 
"sh688020","688020","方邦股份","20250324" 
"sh688021","688021","奥福环保","20250324" 
"sh688022","688022","瀚川智能","20250324" 
"sh688023","688023","安恒信息","20250324" 
"sh688025","688025","杰普特","20250324"   
"sh688026","688026","洁特生物","20250324" 
"sh688027","688027","国盾量子","20250324" 
"sh688028","688028","沃尔德","20250324"   
"sh688029","688029","南微医学","20250324" 
"sh688030","688030","山石网科","20250324" 
"sh688031","688031","星环科技","20250324" 
"sh688032","688032","禾迈股份","20250324" 
"sh688033","688033","天宜上佳","20250324" 
"sh688035","688035","德邦科技","20250324" 
"sh688036","688036","传音控股","20250324" 
"sh688037","688037","芯源微","20250324"   
"sh688038","688038","中科通达","20250324" 
"sh688039","688039","当虹科技","20250324" 
"sh688041","688041","海光信息","20250324" 
"sh688045","688045","必易微","20250324"   
"sh688046","688046","药康生物","20250324" 
"sh688047","688047","龙芯中科","20250324" 
"sh688048","688048","长光华芯","20250324" 
"sh688049","688049","炬芯科技","20250324" 
"sh688050","688050","爱博医疗","20250324" 
"sh688051","688051","佳华科技","20250324" 
"sh688052","688052","纳芯微","20250324"   
"sh688053","688053","思科瑞","20250324"   
"sh688055","688055","龙腾光电","20250324" 
